1, minecraft:pillager_outpost, HEADING, header:ignore, 0, 0, 0
44, wythers:baobab_savanna, HEADING, header:ignore, 0, 0, 0
45, wythers:baobab_savanna, CREATURE, minecraft:parrot, 40, 3, 5
46, wythers:giant_fallen_log, HEADING, header:ignore, 0, 0, 0
47, betterwitchhuts:witch_circle, HEADING, header:ignore, 0, 0, 0
48, betterwitchhuts:witch_circle, MONSTER, minecraft:witch, 10, 1, 1
49, betterwitchhuts:witch_circle, CREATURE, minecraft:cat, 10, 1, 1
50, hexerei:witch_hut, HEADING, header:ignore, 0, 0, 0
51, wythers:baobab_dry_tropical_forest, HEADING, header:ignore, 0, 0, 0
52, wythers:elephant_graveyard_fossil, HEADING, header:ignore, 0, 0, 0
53, betterdungeons:zombie_dungeon, HEADING, header:ignore, 0, 0, 0
54, betterdungeons:zombie_dungeon, MONSTER, minecraft:zombie, 80, 4, 15
55, bettermineshafts:mineshaft_ice, HEADING, header:ignore, 0, 0, 0
56, structory:abandoned_chapel, HEADING, header:ignore, 0, 0, 0
57, structory:graveyard, HEADING, header:ignore, 0, 0, 0
58, betterdungeons:skeleton_dungeon, HEADING, header:ignore, 0, 0, 0
59, betterdungeons:skeleton_dungeon, MONSTER, minecraft:skeleton, 80, 4, 15
60, bettermineshafts:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
61, betterfortresses:fortress, HEADING, header:ignore, 0, 0, 0
62, betterfortresses:fortress, MONSTER, minecraft:blaze, 10, 2, 3
63, betterfortresses:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
64, betterfortresses:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
65, betterfortresses:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
66, betterfortresses:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
67, bettermineshafts:mineshaft_spruce, HEADING, header:ignore, 0, 0, 0
68, betteroceanmonuments:ocean_monument, HEADING, header:ignore, 0, 0, 0
69, betteroceanmonuments:ocean_monument, MONSTER, minecraft:guardian, 10, 0, 0
70, structory:northern_ruin, HEADING, header:ignore, 0, 0, 0
71, bettermineshafts:mineshaft_oak, HEADING, header:ignore, 0, 0, 0
72, bettermineshafts:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
73, betterstrongholds:stronghold, HEADING, header:ignore, 0, 0, 0
74, hexerei:nature_coven, HEADING, header:ignore, 0, 0, 0
75, bettermineshafts:mineshaft_overgrown, HEADING, header:ignore, 0, 0, 0
76, structory:dense_forest_ruin, HEADING, header:ignore, 0, 0, 0
77, betterwitchhuts:witch_hut, HEADING, header:ignore, 0, 0, 0
78, betterwitchhuts:witch_hut, MONSTER, minecraft:witch, 10, 1, 1
79, betterwitchhuts:witch_hut, CREATURE, minecraft:cat, 10, 1, 1
80, structory:swamp_ruin, HEADING, header:ignore, 0, 0, 0
81, bettermineshafts:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
82, betterdungeons:small_nether_dungeon, HEADING, header:ignore, 0, 0, 0
83, structory:outcast_villager_desert, HEADING, header:ignore, 0, 0, 0
84, structory:taiga_ruin_underground, HEADING, header:ignore, 0, 0, 0
85, structory:ruin_grassy, HEADING, header:ignore, 0, 0, 0
86, hexerei:dark_coven, HEADING, header:ignore, 0, 0, 0
87, betterdeserttemples:desert_temple, HEADING, header:ignore, 0, 0, 0
88, betterdeserttemples:desert_temple, MONSTER, minecraft:husk, 80, 10, 32
89, betterdeserttemples:desert_temple, CREATURE, minecraft:cat, 80, 4, 4
90, betterdeserttemples:desert_temple, CREATURE, minecraft:rabbit, 80, 4, 4
91, wythers:banyan_sparse_jungle, HEADING, header:ignore, 0, 0, 0
92, wythers:el_dorado, HEADING, header:ignore, 0, 0, 0
93, structory:outcast_villager_grassy, HEADING, header:ignore, 0, 0, 0
94, bettermineshafts:mineshaft_acacia, HEADING, header:ignore, 0, 0, 0
95, wythers:village_badlands, HEADING, header:ignore, 0, 0, 0
96, wythers:baobab_tropical_forest, HEADING, header:ignore, 0, 0, 0
97, structory:taiga_ruin_surface, HEADING, header:ignore, 0, 0, 0
98, wythers:village_wooded_badlands, HEADING, header:ignore, 0, 0, 0
99, structory:abandoned_camp, HEADING, header:ignore, 0, 0, 0
100, bettermineshafts:mineshaft_lush, HEADING, header:ignore, 0, 0, 0
101, betterdungeons:small_dungeon, HEADING, header:ignore, 0, 0, 0
102, bettermineshafts:mineshaft_dripstone, HEADING, header:ignore, 0, 0, 0
103, bettermineshafts:mineshaft_red_desert, HEADING, header:ignore, 0, 0, 0
104, structory:firetower, HEADING, header:ignore, 0, 0, 0
105, structory:jungle_ruin, HEADING, header:ignore, 0, 0, 0
106, structory:jungle_ruin, MONSTER, minecraft:creeper, 10, 4, 4
107, wythers:village_badlands_desert, HEADING, header:ignore, 0, 0, 0
108, structory:old_manor, HEADING, header:ignore, 0, 0, 0
109, betterdungeons:spider_dungeon, HEADING, header:ignore, 0, 0, 0
110, betterdungeons:spider_dungeon, MONSTER, minecraft:spider, 80, 4, 15
111, betterdungeons:spider_dungeon, MONSTER, minecraft:cave_spider, 50, 4, 8
112, bettermineshafts:mineshaft_spruce_snowy, HEADING, header:ignore, 0, 0, 0
